PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Nico Laprovittola,BAR,22.0,22.57,1.0,14.0,2.5,5.5,45.5,2.1,4.2,49.5,2.3,2.7,85.0,2.0,0.5,2.5,3.8,0.8,2.3,0.0,0.4,0.0,1.9,3.0,7.0,14.0
Cory Higgins,BAR,12.0,19.44,0.0,12.5,1.6,3.8,42.2,2.6,4.8,53.4,2.6,3.4,75.6,2.3,0.3,2.5,1.8,1.0,0.8,0.2,0.5,0.0,1.5,3.6,7.0,13.5
Nikola Mirotic,BAR,13.0,19.57,0.9,11.4,1.6,4.5,36.2,2.4,4.2,57.4,1.8,1.9,92.0,3.4,1.3,4.7,0.8,0.3,1.2,0.2,0.4,0.1,1.8,2.5,7.0,11.6
Jan  Vesely,BAR,22.0,18.58,0.5,9.6,0.0,0.0,0.0,4.1,6.6,61.6,1.4,2.0,68.9,2.5,1.5,4.0,1.2,0.9,1.2,0.1,0.3,1.0,2.1,2.0,5.0,10.9
Rokas Jokubaitis,BAR,23.0,19.32,0.0,8.6,0.8,2.0,41.3,2.2,4.6,48.6,1.7,2.0,83.0,1.7,0.3,2.0,4.4,0.8,1.6,0.1,0.3,0.2,1.4,2.0,5.0,10.8
Tomas Satoransky,BAR,21.0,20.53,1.0,7.4,0.7,2.0,35.7,1.9,3.2,58.8,1.5,1.8,81.6,2.0,0.5,2.5,3.6,1.0,1.6,0.0,0.2,0.1,2.2,2.1,5.0,9.7
Nikola Kalinic,BAR,22.0,18.49,0.6,6.3,0.5,1.8,30.8,1.5,2.7,55.0,1.6,2.1,78.3,3.1,0.8,3.9,1.5,0.5,1.3,0.0,0.1,0.2,1.5,2.0,6.0,8.5
Oscar Da Silva,BAR,18.0,18.52,0.2,6.1,0.7,1.9,38.2,1.6,2.6,61.7,0.7,1.2,61.9,2.6,1.9,4.4,0.4,0.6,0.8,0.3,0.2,0.3,2.3,1.2,4.0,7.2
James Nnaji,BAR,17.0,12.27,0.5,5.5,0.0,0.0,0.0,2.2,3.5,64.4,1.0,1.7,58.6,1.8,1.1,2.8,0.4,0.2,0.9,0.6,0.3,1.0,1.2,1.9,2.0,7.1
Sertac Sanli,BAR,18.0,16.08,0.4,6.2,0.4,1.8,21.9,1.7,2.9,58.5,1.6,2.1,76.3,2.2,1.6,3.8,0.7,0.4,0.8,0.5,0.2,0.2,2.7,1.7,7.0,6.6
Mike Tobey,BAR,9.0,13.25,0.0,4.4,0.9,2.1,42.1,0.8,1.2,63.6,0.2,0.2,100.0,2.6,0.8,3.3,0.2,0.3,0.4,0.1,0.1,0.2,1.0,0.8,1.0,6.0
Oriol Paulí,BAR,18.0,13.57,0.5,3.4,0.3,1.3,21.7,1.0,2.1,47.4,0.6,1.0,55.6,2.4,0.8,3.2,1.3,0.6,0.6,0.0,0.2,0.1,1.3,1.2,2.0,4.9
Álex Abrines,BAR,18.0,17.24,0.3,5.6,1.3,4.1,32.9,0.5,1.4,36.0,0.6,0.8,73.3,1.7,1.1,2.8,0.7,0.7,0.5,0.1,0.2,0.1,1.7,1.2,5.0,4.8
Kyle Kuric,BAR,15.0,17.37,0.1,6.1,0.9,2.9,29.5,1.1,2.2,48.5,1.3,1.5,87.0,0.9,0.4,1.3,0.5,0.6,0.5,0.0,0.0,0.0,1.4,1.1,1.0,4.3
Sergi Martínez,BAR,5.0,10.27,0.0,1.6,0.2,0.4,50.0,0.4,0.6,66.7,0.2,0.4,50.0,1.4,0.4,1.8,0.4,0.0,0.4,0.2,0.0,0.0,1.6,0.2,-1.0,1.6
Michael Caicedo,BAR,7.0,4.0,0.0,1.6,0.4,0.9,50.0,0.1,0.6,25.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,0.0,0.4,0.1,0.0,0.0,0.4,0.0,0.0,0.9
Rafael Villar,BAR,3.0,2.13,0.0,0.7,0.0,0.0,0.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.3,0.0,1.0,0.3
Dame Sarr,BAR,1.0,0.24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
Marc Gasol,GIR,21.0,25.54,1.0,11.4,0.8,2.4,33.3,2.9,5.7,51.3,3.2,3.9,82.7,5.2,0.9,6.1,3.1,0.8,2.0,1.3,0.1,0.3,1.9,4.1,-1.0,18.0
Kameron Taylor,GIR,23.0,27.16,1.0,14.5,1.3,3.3,40.3,4.1,7.3,56.3,2.3,2.7,86.9,3.2,1.0,4.2,2.7,1.7,2.4,0.0,0.4,0.3,2.9,2.7,-1.0,14.7
Quino Colom,GIR,23.0,22.24,0.7,9.5,1.6,4.8,33.3,1.3,3.2,41.9,2.0,2.3,83.3,2.1,0.3,2.4,4.3,0.8,2.2,0.0,0.1,0.0,0.9,2.5,-1.0,10.7
Dusan Miletic,GIR,23.0,16.47,0.6,7.4,0.4,1.3,31.0,2.7,4.5,60.2,0.8,1.5,54.3,2.9,1.5,4.4,0.6,0.3,1.1,1.1,0.3,0.7,2.3,1.6,-2.0,8.3
Roko Prkacin,GIR,22.0,15.23,0.5,6.2,0.0,0.1,0.0,2.7,4.8,56.6,0.7,1.3,57.1,2.4,0.9,3.3,0.3,0.6,0.9,0.0,0.3,0.9,1.2,1.0,-1.0,6.3
Máximo Fjellerup,GIR,23.0,18.36,0.1,8.4,0.3,2.2,15.7,3.1,5.7,54.2,1.2,1.7,69.2,2.3,0.8,3.1,1.0,1.0,1.7,0.0,0.3,0.3,2.0,1.7,-4.0,6.2
