PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Nico Laprovittola,BAR,22.0,504.54,21.0,308.0,55.0,121.0,45.5,46.0,93.0,49.5,51.0,60.0,85.0,45.0,10.0,55.0,83.0,18.0,50.0,0.0,9.0,0.0,42.0,66.0,172.0,307.0
Rokas Jokubaitis,BAR,23.0,449.37,1.0,198.0,19.0,46.0,41.3,51.0,105.0,48.6,39.0,47.0,83.0,40.0,7.0,47.0,101.0,18.0,37.0,2.0,7.0,4.0,32.0,47.0,126.0,248.0
Jan  Vesely,BAR,22.0,417.22,12.0,211.0,0.0,1.0,0.0,90.0,146.0,61.6,31.0,45.0,68.9,55.0,33.0,88.0,26.0,20.0,27.0,2.0,7.0,23.0,47.0,45.0,110.0,240.0
Tomas Satoransky,BAR,21.0,438.38,21.0,156.0,15.0,42.0,35.7,40.0,68.0,58.8,31.0,38.0,81.6,42.0,11.0,53.0,75.0,20.0,33.0,0.0,4.0,3.0,46.0,44.0,124.0,203.0
Nikola Kalinic,BAR,22.0,414.01,13.0,138.0,12.0,39.0,30.8,33.0,60.0,55.0,36.0,46.0,78.3,68.0,17.0,85.0,33.0,12.0,28.0,1.0,3.0,5.0,32.0,44.0,135.0,186.0
Cory Higgins,BAR,12.0,236.49,0.0,150.0,19.0,45.0,42.2,31.0,58.0,53.4,31.0,41.0,75.6,27.0,3.0,30.0,22.0,12.0,10.0,2.0,6.0,0.0,18.0,43.0,85.0,162.0
Nikola Mirotic,BAR,13.0,259.27,12.0,148.0,21.0,58.0,36.2,31.0,54.0,57.4,23.0,25.0,92.0,44.0,17.0,61.0,10.0,4.0,16.0,2.0,5.0,1.0,24.0,33.0,97.0,151.0
Oscar Da Silva,BAR,18.0,339.39,4.0,110.0,13.0,34.0,38.2,29.0,47.0,61.7,13.0,21.0,61.9,46.0,34.0,80.0,8.0,11.0,15.0,6.0,4.0,5.0,41.0,21.0,81.0,129.0
James Nnaji,BAR,17.0,211.43,8.0,93.0,0.0,0.0,0.0,38.0,59.0,64.4,17.0,29.0,58.6,30.0,18.0,48.0,6.0,4.0,15.0,11.0,5.0,17.0,21.0,33.0,39.0,121.0
Sertac Sanli,BAR,18.0,290.38,7.0,112.0,7.0,32.0,21.9,31.0,53.0,58.5,29.0,38.0,76.3,40.0,29.0,69.0,12.0,7.0,14.0,9.0,3.0,4.0,48.0,30.0,132.0,118.0
Oriol Paulí,BAR,18.0,251.09,9.0,61.0,5.0,23.0,21.7,18.0,38.0,47.4,10.0,18.0,55.6,43.0,14.0,57.0,23.0,11.0,11.0,0.0,3.0,2.0,24.0,21.0,39.0,89.0
Álex Abrines,BAR,18.0,313.25,5.0,101.0,24.0,73.0,32.9,9.0,25.0,36.0,11.0,15.0,73.3,31.0,20.0,51.0,13.0,12.0,9.0,1.0,4.0,1.0,31.0,22.0,97.0,87.0
Kyle Kuric,BAR,15.0,264.26,2.0,91.0,13.0,44.0,29.5,16.0,33.0,48.5,20.0,23.0,87.0,14.0,6.0,20.0,8.0,9.0,8.0,0.0,0.0,0.0,21.0,17.0,16.0,65.0
Mike Tobey,BAR,9.0,120.45,0.0,40.0,8.0,19.0,42.1,7.0,11.0,63.6,2.0,2.0,100.0,23.0,7.0,30.0,2.0,3.0,4.0,1.0,1.0,2.0,9.0,7.0,12.0,54.0
Sergi Martínez,BAR,5.0,52.19,0.0,8.0,1.0,2.0,50.0,2.0,3.0,66.7,1.0,2.0,50.0,7.0,2.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,-7.0,8.0
Michael Caicedo,BAR,7.0,28.04,0.0,11.0,3.0,6.0,50.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,6.0
Rafael Villar,BAR,3.0,6.4,0.0,2.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0
Dame Sarr,BAR,1.0,0.24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
Marc Gasol,GIR,21.0,544.12,20.0,240.0,17.0,51.0,33.3,61.0,119.0,51.3,67.0,81.0,82.7,109.0,19.0,128.0,66.0,17.0,41.0,28.0,3.0,6.0,39.0,87.0,-39.0,377.0
Kameron Taylor,GIR,23.0,627.28,22.0,334.0,31.0,77.0,40.3,94.0,167.0,56.3,53.0,61.0,86.9,74.0,23.0,97.0,61.0,39.0,55.0,1.0,9.0,8.0,67.0,63.0,-26.0,337.0
Quino Colom,GIR,23.0,515.17,15.0,218.0,37.0,111.0,33.3,31.0,74.0,41.9,45.0,54.0,83.3,48.0,7.0,55.0,98.0,19.0,51.0,0.0,3.0,0.0,20.0,57.0,-38.0,247.0
Dusan Miletic,GIR,23.0,386.04,13.0,170.0,9.0,29.0,31.0,62.0,103.0,60.2,19.0,35.0,54.3,67.0,34.0,101.0,13.0,7.0,25.0,26.0,7.0,17.0,53.0,37.0,-46.0,192.0
Máximo Fjellerup,GIR,23.0,427.5,3.0,193.0,8.0,51.0,15.7,71.0,131.0,54.2,27.0,39.0,69.2,53.0,19.0,72.0,22.0,24.0,38.0,0.0,8.0,8.0,47.0,39.0,-98.0,142.0
Roko Prkacin,GIR,22.0,338.44,11.0,136.0,0.0,3.0,0.0,60.0,106.0,56.6,16.0,28.0,57.1,53.0,20.0,73.0,7.0,14.0,20.0,1.0,7.0,19.0,27.0,23.0,-22.0,139.0
Eric Vila,GIR,23.0,385.49,6.0,102.0,5.0,20.0,25.0,31.0,70.0,44.3,25.0,34.0,73.5,48.0,27.0,75.0,9.0,17.0,18.0,2.0,10.0,7.0,35.0,28.0,9.0,107.0
