TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
BAR,23.0,,,84.3,9.3,25.5,36.7,20.6,37.4,55.1,15.0,19.6,76.7,25.7,10.9,36.6,18.7,9.3,12.7,1.7,2.7,2.9,19.6,20.6,,98.7
GIR,23.0,,,76.1,6.8,22.0,30.8,21.2,41.4,51.2,13.3,18.3,72.9,26.2,9.9,36.0,16.7,11.0,14.3,2.9,2.5,3.2,18.2,18.7,,86.1
BAX,22.0,,,82.0,8.6,25.9,33.2,21.7,41.6,52.2,12.7,17.4,73.3,22.7,10.5,33.2,17.9,9.5,15.0,2.4,2.5,2.5,23.7,20.0,,82.0
FUE,23.0,,,77.1,6.8,21.4,31.6,21.4,41.3,51.9,13.9,19.4,71.5,22.5,10.3,32.8,16.0,9.3,14.7,2.1,3.1,2.3,20.3,19.1,,78.3
CAZ,23.0,,,78.4,6.8,21.7,31.5,21.8,41.5,52.5,14.4,21.3,67.4,26.6,11.0,37.6,15.7,10.1,15.0,4.7,2.2,3.8,20.3,21.2,,88.7
BKN,23.0,,,90.9,12.2,29.1,41.8,20.0,35.9,55.8,14.3,19.2,74.2,26.3,9.7,36.0,20.2,10.0,12.6,2.7,2.7,3.1,20.6,19.9,,106.0
COV,23.0,,,77.2,7.8,24.5,31.7,20.0,38.1,52.6,13.8,19.6,70.4,24.7,11.3,36.0,15.2,9.3,16.6,2.5,2.7,2.4,19.0,19.8,,81.2
GCA,23.0,,,83.9,10.3,27.6,37.2,18.9,34.0,55.7,15.3,21.3,71.8,24.3,9.5,33.8,17.0,9.9,13.0,3.0,2.0,2.7,20.7,21.2,,94.8
JOV,23.0,,,82.1,7.7,23.3,33.1,22.4,40.9,54.8,14.0,18.4,76.1,26.6,11.1,37.7,17.4,7.7,11.8,2.3,2.1,1.4,20.6,19.7,,94.0
LNT,22.0,,,82.2,9.5,26.2,36.5,19.2,33.2,57.9,15.1,19.1,79.0,24.4,8.8,33.2,18.0,9.5,12.5,1.8,2.7,2.7,19.1,20.4,,96.3
MOB,23.0,,,78.3,9.4,27.6,34.2,17.2,34.6,49.6,15.7,20.1,77.9,24.8,10.3,35.2,15.3,7.8,13.7,2.7,2.4,1.6,21.0,20.2,,82.4
BET,23.0,,,77.3,9.6,29.8,32.1,17.8,35.5,50.1,13.0,18.0,72.4,24.0,11.2,35.1,14.7,9.7,13.5,1.8,3.0,1.7,21.0,18.4,,76.7
RMB,23.0,,,87.7,9.3,25.1,37.0,21.5,39.5,54.5,16.8,21.7,77.5,28.0,11.3,39.3,17.7,9.1,13.2,4.4,2.3,3.8,18.3,21.3,,107.0
BRE,23.0,,,78.9,8.1,25.0,32.3,21.4,40.2,53.2,11.9,17.4,68.3,24.1,11.1,35.3,16.3,10.6,12.2,2.1,2.6,2.5,20.8,19.1,,85.3
SBB,23.0,,,76.5,8.3,25.1,33.1,18.7,38.4,48.8,14.1,18.6,76.1,24.6,11.0,35.7,15.1,9.3,13.0,3.6,2.9,3.1,20.3,19.7,,82.8
UCM,23.0,,,79.6,9.0,28.3,32.0,19.0,40.6,46.8,14.5,18.9,76.7,24.4,12.5,37.0,14.2,9.3,12.1,2.7,2.7,1.6,23.7,20.5,,79.5
UNI,23.0,,,86.2,9.9,28.8,34.4,21.7,37.6,57.6,13.2,18.2,72.3,24.5,9.9,34.3,18.1,11.8,12.0,2.2,2.1,2.3,22.5,20.3,,96.3
VBC,23.0,,,84.6,10.4,28.5,36.6,19.1,34.7,55.1,15.1,19.3,78.3,23.3,9.8,33.1,17.8,10.6,13.5,2.1,2.5,1.7,19.7,20.6,,95.3
