TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
BAR,23.0,,,1.938,215.0,586.0,36.7,474.0,860.0,55.1,345.0,450.0,76.7,592.0,250.0,842.0,430.0,213.0,291.0,39.0,61.0,67.0,451.0,474.0,,2.271
GIR,23.0,,,1.75,156.0,507.0,30.8,488.0,953.0,51.2,306.0,420.0,72.9,602.0,227.0,829.0,385.0,252.0,329.0,67.0,57.0,73.0,418.0,431.0,,1.98
BAX,22.0,,,1.803,189.0,569.0,33.2,478.0,916.0,52.2,280.0,382.0,73.3,499.0,232.0,731.0,394.0,209.0,331.0,53.0,54.0,54.0,522.0,440.0,,1.803
FUE,23.0,,,1.773,156.0,493.0,31.6,493.0,950.0,51.9,319.0,446.0,71.5,518.0,236.0,754.0,369.0,215.0,339.0,49.0,72.0,53.0,467.0,439.0,,1.8
CAZ,23.0,,,1.804,157.0,499.0,31.5,501.0,954.0,52.5,331.0,491.0,67.4,611.0,253.0,864.0,362.0,232.0,345.0,107.0,50.0,87.0,466.0,488.0,,2.041
BKN,23.0,,,2.09,280.0,670.0,41.8,461.0,826.0,55.8,328.0,442.0,74.2,606.0,222.0,828.0,464.0,229.0,290.0,62.0,62.0,71.0,473.0,458.0,,2.437
COV,23.0,,,1.776,179.0,564.0,31.7,461.0,876.0,52.6,317.0,450.0,70.4,568.0,261.0,829.0,349.0,215.0,381.0,57.0,63.0,56.0,438.0,456.0,,1.867
GCA,23.0,,,1.93,236.0,635.0,37.2,435.0,781.0,55.7,352.0,490.0,71.8,560.0,218.0,778.0,390.0,228.0,298.0,70.0,47.0,61.0,475.0,488.0,,2.181
JOV,23.0,,,1.888,178.0,537.0,33.1,516.0,941.0,54.8,322.0,423.0,76.1,611.0,256.0,867.0,401.0,177.0,271.0,53.0,48.0,33.0,473.0,454.0,,2.163
LNT,22.0,,,1.808,210.0,576.0,36.5,423.0,730.0,57.9,332.0,420.0,79.0,537.0,194.0,731.0,396.0,210.0,274.0,40.0,60.0,60.0,420.0,449.0,,2.119
MOB,23.0,,,1.801,217.0,634.0,34.2,395.0,796.0,49.6,360.0,462.0,77.9,571.0,238.0,809.0,353.0,179.0,316.0,63.0,55.0,36.0,482.0,464.0,,1.896
BET,23.0,,,1.777,220.0,685.0,32.1,409.0,816.0,50.1,299.0,413.0,72.4,551.0,257.0,808.0,338.0,224.0,310.0,41.0,68.0,40.0,483.0,424.0,,1.765
RMB,23.0,,,2.018,214.0,578.0,37.0,495.0,909.0,54.5,386.0,498.0,77.5,643.0,260.0,903.0,406.0,209.0,304.0,102.0,53.0,88.0,422.0,491.0,,2.46
BRE,23.0,,,1.815,186.0,576.0,32.3,492.0,925.0,53.2,273.0,400.0,68.3,555.0,256.0,811.0,374.0,243.0,281.0,48.0,60.0,57.0,478.0,439.0,,1.961
SBB,23.0,,,1.76,191.0,577.0,33.1,431.0,884.0,48.8,325.0,427.0,76.1,566.0,254.0,820.0,348.0,213.0,298.0,83.0,67.0,71.0,466.0,452.0,,1.904
UCM,23.0,,,1.831,208.0,651.0,32.0,437.0,933.0,46.8,333.0,434.0,76.7,562.0,288.0,850.0,326.0,213.0,279.0,63.0,62.0,37.0,545.0,471.0,,1.828
UNI,23.0,,,1.983,228.0,663.0,34.4,498.0,865.0,57.6,303.0,419.0,72.3,563.0,227.0,790.0,416.0,271.0,276.0,50.0,49.0,52.0,518.0,467.0,,2.216
VBC,23.0,,,1.945,240.0,656.0,36.6,439.0,797.0,55.1,347.0,443.0,78.3,537.0,225.0,762.0,409.0,244.0,310.0,49.0,58.0,40.0,452.0,474.0,,2.193
